Local time,Open,High,Low,Close,Volume
30.05.2022 02:41:00.000 GMT+0200,1.07338,1.07341,1.07334,1.07334,44.58
30.05.2022 02:42:00.000 GMT+0200,1.07334,1.07334,1.07318,1.07318,44.65
30.05.2022 02:43:00.000 GMT+0200,1.07317,1.07319,1.07309,1.07309,53.5
30.05.2022 02:44:00.000 GMT+0200,1.07310,1.07316,1.07295,1.07295,76.4
30.05.2022 02:45:00.000 GMT+0200,1.07294,1.07295,1.07290,1.07295,61.46
30.05.2022 02:46:00.000 GMT+0200,1.07301,1.07301,1.07296,1.07296,16
30.05.2022 02:47:00.000 GMT+0200,1.07298,1.07309,1.07297,1.07306,38.49
30.05.2022 02:48:00.000 GMT+0200,1.07307,1.07321,1.07306,1.07309,44.48
30.05.2022 02:49:00.000 GMT+0200,1.07309,1.07310,1.07303,1.07309,44.89
30.05.2022 02:50:00.000 GMT+0200,1.07309,1.07315,1.07307,1.07309,50.37
30.05.2022 02:51:00.000 GMT+0200,1.07308,1.07308,1.07301,1.07308,41.69
30.05.2022 02:52:00.000 GMT+0200,1.07306,1.07330,1.07305,1.07328,42.13
30.05.2022 02:53:00.000 GMT+0200,1.07328,1.07329,1.07320,1.07321,47.57
30.05.2022 02:54:00.000 GMT+0200,1.07322,1.07326,1.07310,1.07326,172.32
30.05.2022 02:55:00.000 GMT+0200,1.07327,1.07329,1.07310,1.07327,90.05
30.05.2022 02:56:00.000 GMT+0200,1.07324,1.07324,1.07308,1.07309,39.69
30.05.2022 02:57:00.000 GMT+0200,1.07308,1.07308,1.07296,1.07296,77.48
30.05.2022 02:58:00.000 GMT+0200,1.07293,1.07303,1.07291,1.07297,38.82
30.05.2022 02:59:00.000 GMT+0200,1.07296,1.07301,1.07289,1.07298,61.29
30.05.2022 03:00:00.000 GMT+0200,1.07300,1.07306,1.07296,1.07299,39.61
30.05.2022 03:01:00.000 GMT+0200,1.07298,1.07310,1.07293,1.07299,130.81
30.05.2022 03:02:00.000 GMT+0200,1.07297,1.07315,1.07295,1.07313,92.83
30.05.2022 03:03:00.000 GMT+0200,1.07313,1.07313,1.07298,1.07301,98.99
30.05.2022 03:04:00.000 GMT+0200,1.07299,1.07301,1.07292,1.07293,20.45
30.05.2022 03:05:00.000 GMT+0200,1.07294,1.07294,1.07278,1.07284,122.67
30.05.2022 03:06:00.000 GMT+0200,1.07283,1.07297,1.07279,1.07293,114.51
30.05.2022 03:07:00.000 GMT+0200,1.07293,1.07296,1.07286,1.07286,141.97
30.05.2022 03:08:00.000 GMT+0200,1.07288,1.07288,1.07270,1.07270,205.45
30.05.2022 03:09:00.000 GMT+0200,1.07269,1.07279,1.07267,1.07278,99
30.05.2022 03:10:00.000 GMT+0200,1.07278,1.07278,1.07272,1.07278,104.67
30.05.2022 03:11:00.000 GMT+0200,1.07277,1.07303,1.07277,1.07303,105.99
30.05.2022 03:12:00.000 GMT+0200,1.07303,1.07324,1.07303,1.07315,219.62
30.05.2022 03:13:00.000 GMT+0200,1.07312,1.07315,1.07309,1.07315,135.13
30.05.2022 03:14:00.000 GMT+0200,1.07313,1.07324,1.07313,1.07322,105.98
30.05.2022 03:15:00.000 GMT+0200,1.07323,1.07335,1.07323,1.07323,124.31
30.05.2022 03:16:00.000 GMT+0200,1.07324,1.07330,1.07319,1.07323,91.2
30.05.2022 03:17:00.000 GMT+0200,1.07323,1.07328,1.07319,1.07322,27.9
30.05.2022 03:18:00.000 GMT+0200,1.07319,1.07337,1.07318,1.07335,71.18
30.05.2022 03:19:00.000 GMT+0200,1.07335,1.07348,1.07335,1.07344,60.38
30.05.2022 03:20:00.000 GMT+0200,1.07343,1.07347,1.07339,1.07343,56.59
